"","overallx","nrisk1","nrisk2","nrisk3","nrisk4","nrisk5","nrisk6","nrisk7","nrisk8","nrisk9","nrisk10","nrisk11","nrisk12","nrisk13","nrisk14","nrisk15","nrisk16","nrisk17","nrisk18","nrisk19","nrisk20","nrisk21","nrisk22","nrisk23","nrisk24","nrisk25","nrisk26","nrisk27","nrisk28","nrisk29","nrisk30","nrisk31","nrisk32","nrisk33","nrisk34","nrisk35","nrisk36","nrisk37","nrisk38","nrisk39","nrisk40","nrisk41","nrisk42","nrisk43","nrisk44","nrisk45","nrisk46","nrisk47","nrisk48","nrisk49","nrisk50","nrisk51","nrisk52","nrisk53","nrisk54","nrisk55","nrisk56","nrisk57","nrisk58","nrisk59"
"723",1,6,4,4,6,3,6,6,4,4,5,4,2,3,6,6,6,5,6,4,4,4,4,4,6,6,6,2,6,6,5,5,6,6,6,6,1,1,4,4,4,4,5,5,2,2,4,4,6,5,6,5,6,5,2,1,4,4,6,5
"724",0,2,1,1,2,1,1,1,1,1,1,3,1,1,2,1,1,2,1,2,2,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2,1,2
"725",0,6,2,2,4,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,4,4,2,2,2,3,2,3,3,3,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,6,2,2,2,2,2,2,2
"726",1,4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
"727",0,3,1,2,3,2,2,1,2,1,1,1,2,1,1,3,1,1,2,2,2,2,1,1,1,2,2,2,2,3,2,2,2,2,2,2,1,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,2,6
"728",0,4,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,6,1,1,1,1,1,2,1,2,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2
"729",0,6,1,1,6,1,1,1,1,1,1,6,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,6
"730",1,6,1,1,6,2,6,6,2,1,1,5,1,2,1,3,2,2,2,2,2,2,2,2,4,4,4,2,5,5,1,1,6,6,2,2,4,3,2,2,1,1,1,1,1,1,1,1,6,6,5,5,1,1,1,1,1,1,2,2
"731",0,4,2,2,1,1,1,1,1,1,1,3,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,6,3
"732",0,6,2,2,6,1,1,1,1,1,1,2,1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,1,1,1,1,1,1,1,6,6
"733",0,4,1,3,3,2,5,4,1,1,1,1,1,1,1,4,4,1,1,1,1,1,1,1,2,1,2,2,4,2,4,1,5,4,2,3,1,1,5,2,1,1,1,1,1,1,1,1,4,3,4,2,2,1,1,1,4,4,4,2
"734",0,2,1,1,1,2,1,1,3,1,1,1,2,1,1,1,1,2,1,2,1,1,1,1,1,1,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1,2,2
"735",0,4,3,3,4,2,2,2,2,1,1,4,2,3,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,3,2,3,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,1,1,1,1,1,1,1,2
"736",0,2,2,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,1,1
"737",1,2,3,2,4,4,5,2,4,2,1,1,2,6,2,6,6,6,2,2,2,2,2,2,2,2,2,6,2,2,6,6,6,6,6,2,6,6,6,6,6,6,6,6,6,6,2,2,6,6,6,2,2,2,2,2,2,2,6,6
"738",0,6,2,4,4,1,4,1,1,1,1,2,2,1,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,1,2,1,2,2,2,2,2,2,2,1,2,1,2,1,2,1,2,3,2,2,2,2,2,2,2,2,2,2,2
"739",0,2,2,2,2,1,1,1,3,2,2,4,2,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,4,2,2,3,2,3,3,4,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,1,2,2,2,3,3,3,3
